,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
14289,37454824,O Flat da Danda - Copacabana e toda a vibe carioca,257847880,Waldemar,Copacabana,-22.96972,-43.19051,Espaço Inteiro,357,1,4,1,338
14290,37460283,30% OFF NATAL E ANO NOVO - Loft COPA Vista CRISTO,83831825,Mi Casa Su Casa,Copacabana,-22.96639,-43.18751,Espaço Inteiro,927,3,47,9,326
14291,37462889,"Jeunesse Arena, Parque Olimpico, Riocentro, Praias",282624462,Ivone,Jacarepaguá,-22.9729,-43.41351,Espaço Inteiro,170,1,4,2,64
14292,37477425,Quarto para casal - Parque Olímpico da Barra,17357538,Fernanda,Jacarepaguá,-22.97106,-43.39013,Quarto Inteiro,321,1,0,1,173
14293,37479221,Barra Central Park,27752766,Carlos,Camorim,-22.97928,-43.41704,Quarto Inteiro,600,3,2,4,156
14294,37480303,Alugo quarto em apto de ótima localização próx RIR,177337763,Eduardo,Recreio dos Bandeirantes,-23.00189,-43.43461,Quarto Inteiro,250,3,1,1,365
14295,37483228,Suíte no Recreio,282772991,Elisabeth,Recreio dos Bandeirantes,-23.02428,-43.49058,Quarto Inteiro,200,3,5,3,6
14296,37483892,Apartamento Rainha Elizabeth 2 Bedroom 2 Bathroom,77709888,Fábio Soares - BrazilUpscale,Copacabana,-22.98409,-43.19278,Espaço Inteiro,1107,3,1,34,353
14297,37487681,Apartamento ( TEMPORADA E MENSAL ) COPA ON,77709888,Fábio Soares - BrazilUpscale,Copacabana,-22.96639,-43.18395,Espaço Inteiro,843,4,1,34,0
14298,37488872,Quarto em Vila Isabel Próximo à UERJ e Maracanã,3553048,Alexandre,Vila Isabel,-22.91361,-43.24384,Quarto Inteiro,80,1,0,2,174
14299,37494700,"Lapa, a  5 mim do point do momento. Excelente apt.",250047520,Catarina,Centro,-22.91374,-43.18887,Espaço Inteiro,90,7,24,1,25
14300,37496963,"Apto lindo e luxuoso, amplo, novo, clean!",37371095,Rafaela,Jacarepaguá,-22.96554,-43.36694,Espaço Inteiro,1214,2,10,1,167
14301,37497579,Espaço Grajaú,78817280,Wagner,Grajaú,-22.92173,-43.25693,Quarto Inteiro,60,1,4,1,358
14302,37502331,Lapa revitalizada,283076425,Jussara,Santa Teresa,-22.91758,-43.18677,Quarto Inteiro,3035,1,0,1,365
14303,37517333,Charmoso quarto e sala com jardim em Santa Teresa,6566773,Diana,Santa Teresa,-22.91511,-43.19028,Espaço Inteiro,200,5,3,1,13
14304,37523169,Casa confortável para pessoas alegres.,42138797,Maria José,Anil,-22.95581,-43.34331,Espaço Inteiro,250,2,2,3,363
14305,37524260,"Quarto 304 c/piscina, churrasqueira, etc.",106411720,Marcelo,Bonsucesso,-22.8608,-43.2554,Quarto Inteiro,60,2,0,16,365
14306,37526147,Amplo apartamento em Copacabana,250574427,Juliana,Copacabana,-22.97743,-43.19125,Espaço Inteiro,1575,1,40,2,187
14307,37526207,Apartamento aconchegante em Copacabana,250574427,Juliana,Copacabana,-22.97683,-43.19149,Espaço Inteiro,1449,1,64,2,166
14308,37526910,cantinho aconchegante,236549863,Jurlens,Recreio dos Bandeirantes,-23.02222,-43.4921,Espaço Inteiro,427,2,7,1,176
14309,37526913,Recreio Varandão 3 quartos,164351990,Darcy,Recreio dos Bandeirantes,-23.02121,-43.47414,Espaço Inteiro,493,3,21,1,351
14310,37528061,"Omar do Rio - JN 185/205: Moderno 1BDR, 200mbps Fiber Optic Internet, Alexa Echo Dot + Smart TV 100 meters from Ipanema Beach, 450 meters from Copacabana Beach, close to General Osório Metro.",6000862,Omar Do Rio,Ipanema,-22.98601,-43.19485,Espaço Inteiro,634,1,31,93,222
14311,37528475,Apartamento no Coração de Copacabana,26945147,Rodrigo,Copacabana,-22.96362,-43.17536,Espaço Inteiro,787,1,88,14,271
14312,37528842,Arpoador dream! few steps from the beach! :),259095,Danielle,Ipanema,-22.98716,-43.19669,Espaço Inteiro,1014,5,1,3,27
14313,37529565,"Conjugado arquitetado,bem planejado e silencioso",46226066,Alvar Mario,Catete,-22.92537,-43.17963,Espaço Inteiro,338,2,60,6,58
14314,37556142,Cama Dorm Misto de 9 s/ar no Beach House Ipanema,37776540,Mariana,Ipanema,-22.98202,-43.20956,Quarto Compartilhado,281,1,24,7,244
14315,37560100,Private bedroom - Ipanema house-like apt,712931,Liz,Ipanema,-22.98327,-43.20198,Quarto Inteiro,500,4,1,2,171
14316,37561574,Cobertura com ampla vista para o mar.,5087469,Suzana,Copacabana,-22.96493,-43.17729,Espaço Inteiro,559,5,0,2,19
14317,37563702,Suite entre as praias de Copacabana e Ipanema,283754003,Rosamaria,Copacabana,-22.98489,-43.19226,Quarto Inteiro,354,2,30,2,139
14318,37566682,Quarto confortável em apto familiar,263706601,Miriam,Copacabana,-22.97265,-43.18576,Quarto Inteiro,2500,2,1,1,86
14319,37567270,Excelente apartamento na melhor região do Rio.,23888410,Cicero,Leblon,-22.98463,-43.22772,Espaço Inteiro,1193,4,14,1,6
14320,37568464,Temporada - Barra - Parque Olímpico - RIO CENTRO,14164539,Vivian,Jacarepaguá,-22.97273,-43.39019,Espaço Inteiro,450,2,13,1,81
14321,37571090,Ilha da Gigoia com vista pra Pedra da Gavea,161336662,Tarek,Centro,-22.90756,-43.17363,Quarto Inteiro,145,2,2,1,175
14322,37571441,Rock in rio/Park olímpico/Arena Jeunesse 16,47584281,Renato,Gardênia Azul,-22.96113,-43.3564,Espaço Inteiro,380,1,1,51,353
14323,37581654,Vista Magnifica  com total segurança.,290395896,Marline,Jacarepaguá,-22.97272,-43.39385,Espaço Inteiro,250,2,5,1,50
14324,37586886,Alugo Lindo Flat na Praia da Barra,169256412,David,Barra da Tijuca,-23.01281,-43.31796,Espaço Inteiro,579,30,7,1,300
14325,37587045,Apartamento quarto e sala próximo ao metrô,8000736,Andrade,Copacabana,-22.98164,-43.1943,Espaço Inteiro,190,5,0,11,164
14326,37587187,Aluguel por diária.Quem vê se apaixona,283700751,Teresa Cristina Medeiros,Pechincha,-22.93297,-43.34908,Espaço Inteiro,150,1,30,1,264
14327,37588293,Charming Studio,180799692,Thais,Catete,-22.9242,-43.17876,Espaço Inteiro,243,3,36,2,58
14328,37589195,Ipanema Beach - Arpoador. Superb & safe location,7692877,Georgeana & Paulino,Ipanema,-22.98522,-43.19545,Espaço Inteiro,556,5,17,7,39
14329,37591400,Excelente Quarto para  ate  2 pessoas,75093028,Gláucia,Recreio dos Bandeirantes,-23.00339,-43.43671,Quarto Inteiro,300,2,4,2,179
14330,37592730,"Jacarepaguá, Projac, Rio Centro, Barra, Recreio.",278549165,Ana,Jacarepaguá,-22.96611,-43.4056,Quarto Inteiro,129,1,2,1,360
14331,37594343,Conforto com Proximidade,95906598,Décio Lacerda,Freguesia (Jacarepaguá),-22.94151,-43.33815,Espaço Inteiro,151,3,29,4,202
14332,37599732,Kitnet Quarto at URCA,91654021,Daniel,Urca,-22.9496,-43.16437,Espaço Inteiro,536,5,0,176,270
14333,37603377,ARPOADOR -  186 - PISCINA E VISTA MAR!,137007102,Fabiana,Ipanema,-22.98734,-43.18868,Espaço Inteiro,1107,4,7,17,57
14334,37618759,PRIVATE ROOM  WITH  BATHROOM,4832097,Celi,Copacabana,-22.97632,-43.19124,Quarto Inteiro,355,1,5,9,156
14335,37619383,SUÍTE CASAL PRIVADO/PRIVATE BEDROOM AND BATHROOM,4832097,Celi,Copacabana,-22.97783,-43.19136,Quarto Inteiro,341,1,2,9,364
14336,37620466,Copacabana - quadra da praia!,99229788,Gustavo Magno,Copacabana,-22.96979,-43.18357,Espaço Inteiro,526,3,7,1,28
14337,37620923,Quarto disponível pra hóspedes.,284211527,Vanessa,Curicica,-22.96244,-43.40269,Quarto Inteiro,80,1,6,1,356
14338,37621499,Sous le soleil du Brésil,284228449,Neidi,Recreio dos Bandeirantes,-23.0286,-43.47061,Espaço Inteiro,273,2,78,1,309
14339,37624222,[2B802] BEACH•BUSINESS e LAZER,157848745,Katya,Barra da Tijuca,-23.02133,-43.4459,Espaço Inteiro,550,3,0,18,361
